removal_step,stage,event_type,pruning_iteration,cells_removed,area_removed_km2,cum_cells_removed,cum_area_removed_km2,cum_prop_cells_removed,cum_prop_area_removed,cells_retained,area_retained_km2
1953,20,prune,27,1000,91.4956530469751,1930443,173014.121682569,0.905285277624326,0.904179558834304,201971,18335.17392153
1954,20,prune,28,1000,91.188903280276,1931443,173105.310585849,0.905754229713367,0.904656116132267,200971,18243.9850182497
1955,20,prune,29,1000,91.3935873855828,1932443,173196.704173235,0.906223181802408,0.905133743118544,199971,18152.5914308641
1956,20,prune,30,1000,91.5873007706525,1933443,173288.291474006,0.906692133891449,0.905612382459658,198971,18061.0041300935
1957,20,prune,31,1000,91.5436754299323,1934443,173379.835149436,0.90716108598049,0.906090793812786,197971,17969.4604546635
1958,20,prune,32,1000,91.5099124912011,1935443,173471.345061927,0.907630038069531,0.906569028719281,196971,17877.9505421723
1959,20,prune,33,1000,91.6992372579175,1936443,173563.044299185,0.908098990158571,0.907048253045498,195971,17786.2513049144
1960,20,prune,34,1000,91.7905985556751,1937443,173654.83489774,0.908567942247612,0.907527954829954,194971,17694.4607063587
1961,20,prune,35,1000,91.5742662325543,1938443,173746.409163973,0.909036894336653,0.908006526051988,193971,17602.8864401262
1962,20,prune,36,1000,91.7150330403087,1939443,173838.124197013,0.909505846425694,0.908485832927672,192971,17511.1714070859
1963,20,prune,37,1000,91.6825024825633,1940443,173929.806699496,0.909974798514735,0.908964969797202,191971,17419.4889046033
1964,20,prune,38,1000,91.5090943116303,1941443,174021.315793807,0.910443750603776,0.909443200427854,190971,17327.9798102917
1965,20,prune,39,1000,91.4992764382041,1942443,174112.815070246,0.910912702692817,0.90992137974986,189971,17236.4805338535
1966,20,prune,40,1000,91.521429863166,1943443,174204.336500109,0.911381654781857,0.910399674846657,188971,17144.9591039903
1967,20,prune,41,1005,91.926628568602,1944448,174296.263128677,0.911852951631344,0.910880087530061,187966,17053.0324754217
1968,20,prune,42,1000,91.5245937678876,1945448,174387.787722445,0.912321903720384,0.911358399161567,186966,16961.5078816538
1969,20,prune,43,1000,91.4995941014388,1946448,174479.287316547,0.912790855809425,0.911836580143695,185966,16870.0082875524
1970,20,prune,44,1003,91.8704869707008,1947451,174571.157803517,0.913261214754733,0.912316699428591,184963,16778.1378005817
1971,20,prune,45,1000,91.4478466759442,1948451,174662.605650193,0.913730166843774,0.912794609976352,183963,16686.6899539057
1972,20,prune,46,1000,91.6344003052656,1949451,174754.240050499,0.914199118932815,0.913273495461747,182963,16595.0555536005
